Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024addb,2024-01-02T16:57:35.650259Z,-2.49442935,102.2271347,2.944180677,MLv,10,25,62.77313042,"Southern Sumatra, Indonesia",BMKG
bmg2024achh,2024-01-02T05:56:40.954983Z,0.4415571094,98.25943756,3.324794163,M,10,32,109.0890808,"Northern Sumatra, Indonesia",BMKG
bmg2024acfb,2024-01-02T04:49:11.523489Z,-2.602994919,101.8054581,3.339899754,MLv,10,46,78.4153595,"Southern Sumatra, Indonesia",BMKG
bmg2024accr,2024-01-02T03:37:36.740815Z,-4.80652523,102.8573532,3.688750633,MLv,27,49,184.5944214,"Southern Sumatra, Indonesia",BMKG
bmg2024abms,2024-01-01T19:32:56.433852Z,-4.185905933,102.5394211,2.515542648,MLv,35,23,209.0784073,"Southern Sumatra, Indonesia",BMKG
bmg2024abjn,2024-01-01T17:56:27.147185Z,2.11216259,97.85784912,2.969813363,MLv,28,44,66.03717041,"Northern Sumatra, Indonesia",BMKG
bmg2024aagr,2024-01-01T03:22:45.976115Z,4.617212772,96.61839294,3.483218848,M,10,46,59.27486229,"Northern Sumatra, Indonesia",BMKG
bmg2024aaff,2024-01-01T02:37:24.257539Z,4.6072402,96.69286346,2.846737382,MLv,125,20,75.418396,"Northern Sumatra, Indonesia",BMKG
bmg2024aaey,2024-01-01T02:30:11.739831Z,-5.516575336,104.8966675,2.659316514,MLv,105,15,124.839447,"Southern Sumatra, Indonesia",BMKG
bmg2024ecfi,2024-02-28T03:05:54.297505Z,4.531800747,96.4312973,3.182217349,M,10,27,79.82887268,"Northern Sumatra, Indonesia",BMKG
bmg2024eceb,2024-02-28T02:28:12.958281Z,1.13229394,98.70063019,4.73081287,M,55,116,38.19770813,"Northern Sumatra, Indonesia",BMKG
bmg2024ebwr,2024-02-27T22:43:54.920894Z,-1.705817461,101.4202423,2.618497445,M,126,28,116.7256069,"Southern Sumatra, Indonesia",BMKG
bmg2024dyvs,2024-02-26T06:50:48.407034Z,0.81101656,99.63967896,3.134966162,M,133,35,87.06783551,"Northern Sumatra, Indonesia",BMKG
bmg2024dyaw,2024-02-25T20:18:31.774696Z,2.220578909,96.2505722,2.979650541,M,17,20,193.6990814,"Northern Sumatra, Indonesia",BMKG
bmg2024dyar,2024-02-25T20:12:26.823714Z,-0.596536696,98.94348145,2.864048528,M,18,33,133.0184784,"Southern Sumatra, Indonesia",BMKG
bmg2024dxvl,2024-02-25T17:33:47.496831Z,0.584980369,98.50753021,4.689521772,M,11,104,69.42416382,"Northern Sumatra, Indonesia",BMKG
bmg2024dxtv,2024-02-25T16:45:27.632163Z,4.557321072,96.41737366,3.565523647,M,4,33,78.87948608,"Northern Sumatra, Indonesia",BMKG
bmg2024dwva,2024-02-25T04:12:38.710873Z,4.642952919,95.05789948,3.824268183,M,27,45,209.6555851,"Northern Sumatra, Indonesia",BMKG
bmg2024dwrm,2024-02-25T02:25:29.465094Z,-5.592024803,102.3380737,4.339227226,M,33,80,207.5307083,"Southern Sumatra, Indonesia",BMKG
bmg2024dwja,2024-02-24T22:08:48.872458Z,0.615468562,98.49446869,2.95943328,M,6,49,68.68423462,"Northern Sumatra, Indonesia",BMKG
bmg2024dwis,2024-02-24T21:59:54.954601Z,4.449626446,96.52285767,3.192205477,M,6,42,48.06740379,"Northern Sumatra, Indonesia",BMKG
bmg2024dwfr,2024-02-24T20:28:24.81863Z,4.997261047,95.95571136,2.719283468,M,4,32,85.00554276,"Northern Sumatra, Indonesia",BMKG
bmg2024dwdh,2024-02-24T19:15:45.50901Z,4.503750801,96.48979187,3.327972294,M,8,43,72.68305969,"Northern Sumatra, Indonesia",BMKG
bmg2024dvoj,2024-02-24T11:43:50.497435Z,0.167291403,100.3012085,3.213344352,M,150,39,57.16729927,"Northern Sumatra, Indonesia",BMKG
bmg2024dvia,2024-02-24T08:30:23.748718Z,-2.602827787,102.2714539,3.654852165,M,149,49,83.88166809,"Southern Sumatra, Indonesia",BMKG
bmg2024dvdh,2024-02-24T06:07:46.566005Z,2.298641443,95.35331726,4.064106753,M,30,82,227.522995,Off West Coast of Northern Sumatra,BMKG
bmg2024dttq,2024-02-23T12:06:19.9782Z,2.66044879,95.49140167,5.015003402,M,24,97,212.7456055,Off West Coast of Northern Sumatra,BMKG
